=> [0] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1044] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1045] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1047] [1.5505092333889525E-5, 0.999990912144229] == [1.0, 0.0]
=> [1048] [2.207545662996635E-5, 0.9999726084247391] == [1.0, 0.0]
=> [1049] [1.552352273131996E-5, 0.9999908440901533] == [1.0, 0.0]
=> [1051] [1.550488362223046E-5, 0.9999909125377426] == [1.0, 0.0]
=> [1052] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1053] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1054] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1055] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1056] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1057] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1058] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1059] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1060] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1061] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1062] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1063] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1064] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1065] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1066] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1067] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1068] [1.5503150890883166E-5, 0.9999909083699958] == [1.0, 0.0]
=> [1075] [1.5039032256414231E-5, 0.9999741725277105] == [1.0, 0.0]
=> [1076] [1.5515039562430388E-5, 0.9999898324685235] == [1.0, 0.0]
=> [1077] [1.5210739766846615E-5, 0.9999759068242648] == [1.0, 0.0]
=> [1079] [1.5502863106753306E-5, 0.999990901247809] == [1.0, 0.0]
=> [1090] [1.5504883719041906E-5, 0.9999909125397337] == [1.0, 0.0]
=> [1096] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1097] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1098] [1.5504883719097418E-5, 0.9999909125397337] == [1.0, 0.0]
=> [1099] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1100] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1102] [1.5504883718875373E-5, 0.9999909125397335] == [1.0, 0.0]
=> [1103] [1.550488371915293E-5, 0.9999909125397324] == [1.0, 0.0]
=> [1104] [2.044201332013218E-5, 0.9800391014891445] == [1.0, 0.0]
=> [1105] [1.547122094680553E-5, 0.999990809070368] == [1.0, 0.0]
=> [1106] [1.550477976058895E-5, 0.9999909122506966] == [1.0, 0.0]
=> [1112] [1.5504883719097418E-5, 0.9999909125397339] == [1.0, 0.0]
=> [1114] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1115] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1116] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1117] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1118] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1119] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1125] [1.5504829599444214E-5, 0.9999909124629156] == [1.0, 0.0]
=> [1136] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1147] [1.550488129326011E-5, 0.9999909125300958] == [1.0, 0.0]
=> [1153] [1.5504860093606965E-5, 0.9999909125053241] == [1.0, 0.0]
=> [1154] [1.5504883719319462E-5, 0.9999909125397328] == [1.0, 0.0]
=> [1155] [2.7000404991817106E-6, 0.999097251785886] == [1.0, 0.0]
=> [1156] [1.5499994356682478E-5, 0.9999908696554527] == [1.0, 0.0]
=> [1157] [1.18269531951265E-5, 0.9999539297135475] == [1.0, 0.0]
=> [1158] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1164] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1165] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1166] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1167] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1168] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1175] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1176] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1177] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1178] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1179] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1197] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1198] [1.5575205932261138E-5, 0.9999904949753333] == [1.0, 0.0]
=> [1199] [1.5504882198702497E-5, 0.9999909125372392] == [1.0, 0.0]
=> [1200] [1.550406594530429E-5, 0.9999909081065408] == [1.0, 0.0]
=> [1201] [1.550168923131201E-5, 0.9999909051817433] == [1.0, 0.0]
=> [1209] [5.79332683107725E-5, 0.9912434116272306] == [1.0, 0.0]
=> [1214] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1215] [1.5504883163430794E-5, 0.9999909125399005] == [1.0, 0.0]
=> [1216] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1217] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1218] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1248] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1249] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1250] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1251] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1252] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1264] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1265] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1266] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1267] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1268] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1337] [1.5504827352907924E-5, 0.9999909124763933] == [1.0, 0.0]
=> [1338] [1.5504878178584924E-5, 0.9999909124672779] == [1.0, 0.0]
=> [1339] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1340] [1.5504802098442738E-5, 0.999990912067418] == [1.0, 0.0]
=> [1341] [1.5504883709216433E-5, 0.9999909125397071] == [1.0, 0.0]
=> [1342] [1.550488371920844E-5, 0.999990912539734] == [1.0, 0.0]
=> [1343] [1.550488371876435E-5, 0.9999909125397337] == [1.0, 0.0]
=> [1344] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1345] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1346] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1364] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1365] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1366] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1367] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1368] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1378] [6.819353692844032E-8, 0.6146889633832935] == [1.0, 0.0]
=> [1381] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1382] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1383] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1384] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1385] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1386] [2.180797607997942E-6, 0.9995109831439055] == [1.0, 0.0]
=> [1387] [3.604505474041897E-6, 0.9995372832454343] == [1.0, 0.0]
=> [1388] [1.542313804281381E-5, 0.9999898917281631] == [1.0, 0.0]
=> [1389] [1.4557654853253332E-5, 0.9999889255901886] == [1.0, 0.0]
=> [1390] [1.5114632590740307E-5, 0.9999899439689843] == [1.0, 0.0]
=> [1430] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1431] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1432] [1.5504900913287933E-5, 0.9999909125244032] == [1.0, 0.0]
=> [1433] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1434] [1.550488371926395E-5, 0.9999909125397339] == [1.0, 0.0]
=> [1441] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1442] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1443] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1444] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1445] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1449] [1.5504880234162854E-5, 0.9999909125319868] == [1.0, 0.0]
=> [1450] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1451] [1.550489586649162E-5, 0.9999909125031583] == [1.0, 0.0]
=> [1452] [1.5504883773054257E-5, 0.9999909125396336] == [1.0, 0.0]
=> [1459] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1460] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1461] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1462] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1463] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1464] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1465] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1466] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1467] [1.5494519552017305E-5, 0.9999909006379109] == [1.0, 0.0]
=> [1468] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1470] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1471] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1472] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1473] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1474] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1497] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1498] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1499] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1500] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1501] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1502] [3.0839189832654323E-5, 0.9475683842963568] == [1.0, 0.0]
=> [1504] [1.5633180281582337E-5, 0.9999907578526144] == [1.0, 0.0]
=> [1505] [1.5738799329645392E-5, 0.9999901692161393] == [1.0, 0.0]
=> [1506] [1.629804215830255E-5, 0.9999894769660487] == [1.0, 0.0]
=> [1507] [2.0516944531701053E-5, 0.9999690888593852] == [1.0, 0.0]
=> [1508] [1.5504875014005215E-5, 0.9999909125141697] == [1.0, 0.0]
=> [1509] [1.5502947024848E-5, 0.9999909066447676] == [1.0, 0.0]
=> [1510] [1.5514554822237958E-5, 0.9999908601916699] == [1.0, 0.0]
=> [1511] [1.5504875014005215E-5, 0.9999909125141697] == [1.0, 0.0]
=> [1512] [1.550442057335344E-5, 0.9999909098932506] == [1.0, 0.0]
=> [1514] [1.5504883718875373E-5, 0.9999909125396511] == [1.0, 0.0]
=> [1515] [1.550488354562507E-5, 0.9999909125392639] == [1.0, 0.0]
=> [1516] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1517] [1.5504883596528796E-5, 0.9999909125395028] == [1.0, 0.0]
=> [1518] [1.550488371926395E-5, 0.9999909125397319] == [1.0, 0.0]
=> [1526] [1.2143890094795662E-5, 0.9999078903404979] == [1.0, 0.0]
=> [1527] [1.5503737314015442E-5, 0.9999908993853264] == [1.0, 0.0]
=> [1529] [1.6682568576564805E-7, 4.3812188819647435E-4] == [1.0, 0.0]
=> [1535] [1.7958496475733998E-5, 0.9999587253220648] == [1.0, 0.0]
=> [1536] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1537] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1538] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1539] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1540] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1546] [1.5707038693801856E-5, 0.9999772914100756] == [1.0, 0.0]
=> [1552] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1553] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1554] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1555] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1556] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1559] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1560] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1561] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1562] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1563] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1564] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1565] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1566] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1567] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1568] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1569] [1.5554547383167527E-5, 0.9999908179592667] == [1.0, 0.0]
=> [1570] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1571] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1572] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1573] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1574] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1575] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1576] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1577] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1578] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1579] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1580] [3.2036897703147105E-5, 0.9999033300757302] == [1.0, 0.0]
=> [1586] [3.130679775180667E-4, 0.00843279935470187] == [1.0, 0.0]
=> [1587] [1.5849317262672802E-5, 0.9999900259493288] == [1.0, 0.0]
=> [1590] [1.5504847665104293E-5, 0.9999909123877948] == [1.0, 0.0]
=> [1591] [1.5505155718631425E-5, 0.9999909119151088] == [1.0, 0.0]
=> [1602] [2.329612387447222E-5, 0.9998977964367349] == [1.0, 0.0]
=> [1608] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1609] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1610] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1611] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1612] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1641] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1642] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1643] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1644] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1645] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1663] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1664] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1665] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1666] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1667] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1670] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1671] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1672] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1673] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1674] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1675] [1.550488367579872E-5, 0.9999909125396713] == [1.0, 0.0]
=> [1676] [1.550488371870884E-5, 0.9999909125397324] == [1.0, 0.0]
=> [1677] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1678] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1679] [1.5504883716543905E-5, 0.9999909125397313] == [1.0, 0.0]
=> [1681] [1.782504272607177E-5, 0.9999845546826263] == [1.0, 0.0]
=> [1682] [1.3069630018625045E-5, 0.9999228794719328] == [1.0, 0.0]
=> [1683] [1.5501617359692244E-5, 0.9999908900171322] == [1.0, 0.0]
=> [1684] [7.895347184749824E-5, 0.8947987935583854] == [1.0, 0.0]
=> [1685] [1.5672220354923105E-5, 0.9998869567282467] == [1.0, 0.0]
=> [1708] [3.078852813409583E-5, 0.9998306352035855] == [1.0, 0.0]
=> [1712] [5.7941553122276E-5, 0.9970030287898334] == [1.0, 0.0]
=> [1721] [8.661332871473526E-7, 0.011291229484886367] == [1.0, 0.0]
=> [1724] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1732] [1.6235628170824246E-5, 0.9999854168588933] == [1.0, 0.0]
=> [1733] [1.5536602529009347E-5, 0.9999908374885313] == [1.0, 0.0]
=> [1734] [1.7139120307541056E-5, 0.9999878093175263] == [1.0, 0.0]
=> [1735] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1736] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1737] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1738] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1739] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1740] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1746] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1757] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1758] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1759] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1760] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1761] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1762] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1763] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1764] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1765] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1766] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1767] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1768] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1769] [1.550117325627154E-5, 0.999990909252785] == [1.0, 0.0]
=> [1770] [9.772566276211592E-7, 0.9218135321274745] == [1.0, 0.0]
=> [1771] [1.4306036913769304E-5, 0.9999881611396073] == [1.0, 0.0]
=> [1772] [1.5504871616001115E-5, 0.9999909125259411] == [1.0, 0.0]
=> [1773] [8.33689130064208E-7, 0.26144657242394287] == [1.0, 0.0]
=> [1774] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1775] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1776] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1777] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1778] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1792] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1793] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1794] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1795] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1796] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1819] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1820] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1821] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1822] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1823] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1885] [1.5504719251380195E-5, 0.9999909121201798] == [1.0, 0.0]
=> [1887] [1.593234512164976E-5, 0.9999891805176542] == [1.0, 0.0]
=> [1888] [1.551434175639521E-5, 0.9999909043843769] == [1.0, 0.0]
=> [1889] [1.566990286805403E-5, 0.9999902241205677] == [1.0, 0.0]
=> [1891] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1902] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1913] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1914] [1.5504881744010657E-5, 0.9999909125356926] == [1.0, 0.0]
=> [1915] [1.550488395640759E-5, 0.9999909125392773] == [1.0, 0.0]
=> [1916] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1917] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1918] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1924] [1.5504883713601814E-5, 0.9999909125397253] == [1.0, 0.0]
=> [1935] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1958] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1959] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1960] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1961] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1962] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1963] [1.5504646731889782E-5, 0.9999909125248416] == [1.0, 0.0]
=> [1964] [1.550488366808267E-5, 0.9999909125396748] == [1.0, 0.0]
=> [1965] [1.5108169256761173E-5, 0.9999898806747368] == [1.0, 0.0]
=> [1966] [1.5504105029040538E-5, 0.9999909110942731] == [1.0, 0.0]
=> [1967] [1.5491341187501284E-5, 0.9999908797517383] == [1.0, 0.0]
=> [1985] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1986] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1987] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1988] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1989] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2008] [1.5501154686514695E-5, 0.9999909090419752] == [1.0, 0.0]
=> [2009] [1.550488368978753E-5, 0.9999909125396775] == [1.0, 0.0]
=> [2010] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2011] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2012] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2019] [1.5503032847585807E-5, 0.999990900260137] == [1.0, 0.0]
=> [2020] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2021] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2022] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2023] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2030] [1.5443375466217546E-5, 0.9999904206433003] == [1.0, 0.0]
=> [2031] [4.615711756861263E-6, 0.9979893507722668] == [1.0, 0.0]
=> [2032] [1.545742883413137E-5, 0.9999908241306537] == [1.0, 0.0]
=> [2033] [1.0754801301360306E-5, 0.986831817353492] == [1.0, 0.0]
=> [2034] [9.27390242716486E-6, 0.9072660643730921] == [1.0, 0.0]
=> [2047] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2048] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2049] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2050] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2051] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2058] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2059] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2060] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2061] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2062] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2063] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2064] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2065] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2066] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2067] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2068] [1.5504882194206093E-5, 0.9999909124973885] == [1.0, 0.0]
=> [2079] [1.5505384481473428E-5, 0.9999909114475055] == [1.0, 0.0]
=> [2085] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2086] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2087] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2088] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2089] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2090] [1.5504884870898294E-5, 0.9999909125363861] == [1.0, 0.0]
=> [2091] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2092] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2093] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2094] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2095] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2101] [1.550488371832026E-5, 0.9999909125397313] == [1.0, 0.0]
=> [2102] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2103] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
